"IdCompra","Fecha","IdProducto","Cantidad","Precio","IdProveedor"
7242,"2019-01-25",42988,8,405.26,10
7243,"2019-01-25",42989,10,298.39,10
7244,"2019-01-25",42990,19,247.77,6
7245,"2019-01-25",42992,19,367.47,5
7246,"2019-01-25",42994,2,361.18,8
7247,"2019-01-25",42995,17,253.96,12
7248,"2019-01-25",42998,6,409.16,5
7249,"2019-01-25",43000,9,239.07,12
7250,"2019-01-25",43002,1,270.97,1
7251,"2019-01-25",43003,5,310.56,9
7252,"2019-01-25",43005,4,310.92,13
7253,"2019-01-25",43006,13,368.98,10
7254,"2019-01-25",43007,17,299.21,7
7255,"2019-01-25",43009,15,347.06,8
7256,"2019-01-25",43010,5,257.96,8
7257,"2019-01-25",43013,6,241.16,4
7258,"2019-01-25",43014,11,352.51,6
7259,"2019-01-25",43015,9,378.2,5
7260,"2019-01-25",43017,9,244.05,6
7261,"2019-01-25",43018,5,347.04,5
7262,"2019-01-25",43019,17,299.48,14
7263,"2019-01-25",43027,4,354.6,6
7264,"2019-01-25",42756,5,483.84,11
7265,"2019-01-25",42757,7,1138.34,7
7266,"2019-01-25",42758,6,1418.86,8
7267,"2019-01-25",42759,12,1388.97,13
7268,"2019-01-25",42760,12,1075.9,10
7269,"2019-01-25",42762,11,1563.75,4
7270,"2019-01-25",42764,7,910.45,7
7271,"2019-01-25",42765,19,1380.35,10
7272,"2019-01-25",42766,7,4410.51,12
7273,"2019-01-25",42767,15,2424.72,14
7274,"2019-01-25",42772,5,4375.43,5
7275,"2019-01-25",42773,14,6066.34,1
7276,"2019-01-25",42774,2,4703.36,10
7277,"2019-01-25",42775,1,2519.29,4
7278,"2019-01-25",42776,9,952.66,7
7279,"2019-01-25",42777,4,1857.52,13
7280,"2019-01-25",42783,14,1553.48,3
7281,"2019-01-25",42785,6,1066.21,4
7282,"2019-01-25",42787,9,946.5,9
7283,"2019-01-25",42788,10,334.83,4
7284,"2019-01-25",42789,2,169.53,3
7285,"2019-01-25",42791,4,201.83,5
7286,"2019-01-25",42792,7,345.52,4
7287,"2019-01-25",42794,9,216.66,6
7288,"2019-01-25",42797,18,3479.35,8
7289,"2019-01-25",42799,7,1056.57,3
7290,"2019-01-25",42801,8,1795.66,2
7291,"2019-01-25",42927,10,61.99,12
7292,"2019-01-25",42929,10,193.24,10
7293,"2019-01-25",42852,5,116.58,2
7294,"2019-01-25",42853,7,512.46,6
7295,"2019-01-25",42900,13,167.45,7
7296,"2019-01-25",42928,1,79.5,11
7297,"2019-01-25",42932,18,102.27,2
7298,"2019-01-25",42973,15,97.77,9
7299,"2019-01-25",42974,6,147.24,2
7300,"2019-01-25",42979,3,88.18,7
7301,"2019-01-25",42981,13,33.94,11
7302,"2019-02-22",42834,7,611.09,9
7303,"2019-02-22",42835,5,557.16,11
7304,"2019-02-22",42836,14,563.13,12
7305,"2019-02-22",42838,4,674.36,4
7306,"2019-02-22",42840,5,229.44,4
7307,"2019-02-22",42841,3,233.42,5
7308,"2019-02-22",42855,20,811.87,12
7309,"2019-02-22",42858,6,323.25,1
7310,"2019-02-22",42859,6,371.66,14
7311,"2019-02-22",42860,4,387.31,13
7312,"2019-02-22",42861,6,398.32,5
7313,"2019-02-22",42909,7,1166.32,11
7314,"2019-02-22",42911,17,1361.42,1
7315,"2019-02-22",42914,2,1021.19,2
7316,"2019-02-22",42916,16,975.03,3
7317,"2019-02-22",42918,28,478.75,8
7318,"2019-02-22",42920,1,574.7,13
7319,"2019-02-22",42922,8,509.64,5
7320,"2019-02-22",42924,17,472.24,8
7321,"2019-02-22",42925,7,2.03,6
7322,"2019-02-22",42933,16,908.63,4
7323,"2019-02-22",42936,8,2488.24,12
7324,"2019-02-22",42937,36,1548.32,8
7325,"2019-02-22",42940,2,1432.94,1
7326,"2019-02-22",42941,11,1828.03,10
7327,"2019-02-22",42942,2,2001.45,11
7328,"2019-02-22",42943,3,1384.92,7
7329,"2019-02-22",42945,14,2352.43,13
7330,"2019-02-22",42946,13,1636.62,6
7331,"2019-02-22",42947,18,1980.88,4
7332,"2019-02-22",42948,6,2089.14,8
7333,"2019-02-22",42949,3,1220.63,4
7334,"2019-02-22",42951,7,1871.78,8
7335,"2019-02-22",42952,13,2597.29,8
7336,"2019-02-22",42954,16,1596.59,11
7337,"2019-02-22",42955,12,1850.11,4
7338,"2019-02-22",42956,6,1418.87,10
7339,"2019-02-22",42959,10,2982.65,14
7340,"2019-02-22",42963,10,1691.27,9
7341,"2019-02-22",42966,2,2067.48,14
7342,"2019-02-22",42968,22,2214.07,8
7343,"2019-02-22",42969,9,2569.1,2
7344,"2019-02-22",42971,15,2166.12,5
7345,"2019-02-22",42972,13,1841.68,12
7346,"2019-02-22",43030,6,913.05,8
7347,"2019-02-22",43032,11,594.37,11
7348,"2019-02-22",43034,17,717.21,2
7349,"2019-02-22",43035,11,821.67,7
7350,"2019-02-22",43036,4,467.25,4
7351,"2019-02-22",43037,5,796.09,13
7352,"2019-02-22",43038,12,763.48,11
7353,"2019-02-22",43040,9,464.71,11
7354,"2019-02-22",43041,5,611.92,10
7355,"2019-02-22",43043,6,773.11,9
7356,"2019-02-22",42816,1,947.51,7
7357,"2019-02-22",42819,6,683.79,9
7358,"2019-02-22",42820,4,516.18,5
7359,"2019-02-22",42821,10,395.63,6
7360,"2019-02-22",42823,8,607.37,2
7361,"2019-02-22",42824,2,457.48,13
7362,"2019-02-22",42826,8,351.45,13
7363,"2019-02-22",42828,15,553.87,5
7364,"2019-02-22",42829,3,574.86,9
7365,"2019-02-22",42831,1,239.18,14
7366,"2019-02-22",42811,3,1646.62,6
7367,"2019-02-22",42812,9,295.86,1
7368,"2019-02-22",42813,7,255.26,1
7369,"2019-02-22",42815,12,370.89,6
7370,"2019-02-22",42905,3,300.38,2
7371,"2019-02-22",42906,3,254.84,8
7372,"2019-02-22",42737,12,1202.2,8
7373,"2019-02-22",42864,12,153.72,9
7374,"2019-02-22",42866,15,123.17,6
7375,"2019-02-22",42868,9,131.08,2
7376,"2019-02-22",42869,12,155.65,5
7377,"2019-02-22",42871,19,442.64,7
7378,"2019-02-22",42872,7,400.52,10
7379,"2019-02-22",42875,4,378.5,3
7380,"2019-02-22",42876,14,425.61,1
7381,"2019-02-22",42879,10,421.3,7
7382,"2019-02-22",42880,7,372.18,3
7383,"2019-02-22",42884,24,327.04,3
7384,"2019-02-22",42887,5,394.54,7
7385,"2019-02-22",42888,4,322.84,9
7386,"2019-02-22",42892,7,346.06,3
7387,"2019-02-22",42894,2,336.74,11
7388,"2019-02-22",42896,6,394.79,2
7389,"2019-02-22",42987,7,306.32,1
7390,"2019-02-22",42988,16,383.98,12
7391,"2019-02-22",42989,5,260.7,8
7392,"2019-02-22",42992,8,434.82,12
7393,"2019-02-22",42993,11,397.04,12
7394,"2019-02-22",42996,13,338.34,9
7395,"2019-02-22",43000,4,264.98,12
7396,"2019-02-22",43002,11,266.81,11
7397,"2019-02-22",43003,12,277.92,11
7398,"2019-02-22",43007,9,285.66,11
7399,"2019-02-22",43009,5,435.13,14
7400,"2019-02-22",43010,26,262.98,4
7401,"2019-02-22",43011,10,268.91,13
7402,"2019-02-22",43015,16,309.36,7
7403,"2019-02-22",43016,10,307.84,5
7404,"2019-02-22",43021,7,326.66,2
7405,"2019-02-22",43025,6,422.28,8
7406,"2019-02-22",43026,6,396.25,8
7407,"2019-02-22",42757,9,1216.34,12
7408,"2019-02-22",42758,10,1355.45,7
7409,"2019-02-22",42760,8,987.05,12
7410,"2019-02-22",42766,7,4995.28,3
7411,"2019-02-22",42767,20,2498.07,13
7412,"2019-02-22",42768,13,1342.1,13
7413,"2019-02-22",42769,8,2017.94,9
7414,"2019-02-22",42771,3,1743.09,13
7415,"2019-02-22",42773,13,5808.86,6
7416,"2019-02-22",42774,6,4636.63,3
7417,"2019-02-22",42777,5,1795.35,14
7418,"2019-02-22",42778,8,1862.19,4
7419,"2019-02-22",42779,6,6754.16,9
7420,"2019-02-22",42781,7,1346.46,12
7421,"2019-02-22",42782,8,2150.82,5
7422,"2019-02-22",42783,2,1660.96,10
7423,"2019-02-22",42784,2,1349.36,2
7424,"2019-02-22",42788,8,270.44,5
7425,"2019-02-22",42790,4,488.39,13
7426,"2019-02-22",42791,7,182.3,3
7427,"2019-02-22",42792,2,374.64,5
7428,"2019-02-22",42794,3,185.51,3
7429,"2019-02-22",42796,16,329.77,3
7430,"2019-02-22",42797,2,3013.61,3
7431,"2019-02-22",42798,9,1099.74,7
7432,"2019-02-22",42800,5,1214.25,14
7433,"2019-02-22",42850,14,182.31,11
7434,"2019-02-22",42926,10,56.7,6
7435,"2019-02-22",42927,1,70.84,7
7436,"2019-02-22",42929,1,223.4,1
7437,"2019-02-22",42931,23,213.42,7
7438,"2019-02-22",42852,3,107.26,8
7439,"2019-02-22",42870,12,118.87,11
7440,"2019-02-22",42976,8,166.27,11
7441,"2019-02-22",42977,6,83.37,3
7442,"2019-02-22",42979,7,79.38,11
7443,"2019-02-22",42980,5,81.66,7
7444,"2019-03-29",42833,8,606.45,5
7445,"2019-03-29",42834,21,567.03,12
7446,"2019-03-29",42835,3,497.1,6
7447,"2019-03-29",42837,7,288.23,1
7448,"2019-03-29",42838,28,711.77,12
7449,"2019-03-29",42842,12,271.48,6
7450,"2019-03-29",42843,2,446.95,12
7451,"2019-03-29",42844,1,1291.68,9
7452,"2019-03-29",42846,8,1826.16,7
7453,"2019-03-29",42847,6,1872.94,4
7454,"2019-03-29",42856,4,344.31,3
7455,"2019-03-29",42858,3,353.7,8
7456,"2019-03-29",42859,3,429.39,13
7457,"2019-03-29",42860,8,353.81,4
7458,"2019-03-29",42861,10,332.88,12
7459,"2019-03-29",42907,5,300.84,13
7460,"2019-03-29",42910,13,1196.63,9
7461,"2019-03-29",42912,11,1194.87,3
7462,"2019-03-29",42913,8,925.97,11
7463,"2019-03-29",42914,13,1018.49,12
7464,"2019-03-29",42915,13,1230.34,2
7465,"2019-03-29",42916,10,945.94,9
7466,"2019-03-29",42919,5,514.5,1
7467,"2019-03-29",42922,9,518.89,8
7468,"2019-03-29",42933,14,900.38,8
7469,"2019-03-29",42934,1,1271.95,10
7470,"2019-03-29",42938,6,1640.92,7
7471,"2019-03-29",42939,3,1761.83,4
7472,"2019-03-29",42940,26,1327.93,8
7473,"2019-03-29",42941,9,1836.73,11
7474,"2019-03-29",42942,6,1852.45,8
7475,"2019-03-29",42943,8,1351.79,3
7476,"2019-03-29",42944,2,2898.02,4
7477,"2019-03-29",42945,3,2028.68,10
7478,"2019-03-29",42947,18,2173.91,7
7479,"2019-03-29",42948,22,1710.91,8
7480,"2019-03-29",42951,2,2411.77,13
7481,"2019-03-29",42954,11,1593.97,4
7482,"2019-03-29",42955,15,1725.55,9
7483,"2019-03-29",42957,8,1935.3,3
7484,"2019-03-29",42958,8,2336.56,13
7485,"2019-03-29",42961,10,2118.55,9
7486,"2019-03-29",42962,17,1681.5,1
7487,"2019-03-29",42965,31,1540.55,4
7488,"2019-03-29",42967,3,2596.35,9
7489,"2019-03-29",42968,11,2378.98,13
7490,"2019-03-29",42970,12,1837.72,12
7491,"2019-03-29",42971,2,2055.92,7
7492,"2019-03-29",42972,4,1684.77,2
7493,"2019-03-29",43028,8,635.65,12
7494,"2019-03-29",43029,15,860.98,6
7495,"2019-03-29",43031,14,882.62,14
7496,"2019-03-29",43032,13,606.65,7
7497,"2019-03-29",43034,18,719.4,4
7498,"2019-03-29",43035,4,852.47,9
7499,"2019-03-29",43036,3,517.32,3
7500,"2019-03-29",43039,4,624.96,11
7501,"2019-03-29",42816,4,968.3,9
7502,"2019-03-29",42818,9,1194.46,12
7503,"2019-03-29",42819,15,566.44,3
7504,"2019-03-29",42822,2,620.98,11
7505,"2019-03-29",42823,11,579.71,7
7506,"2019-03-29",42824,16,439.86,4
7507,"2019-03-29",42825,11,371.2,10
7508,"2019-03-29",42827,9,346.58,2
7509,"2019-03-29",42831,2,231.91,12
7510,"2019-03-29",42811,29,1881.44,12
7511,"2019-03-29",42812,9,246.7,13
7512,"2019-03-29",42813,13,285.74,11
7513,"2019-03-29",42814,27,294.11,12
7514,"2019-03-29",42904,6,82.29,5
7515,"2019-03-29",42906,9,223.02,9
7516,"2019-03-29",42864,26,143.59,9
7517,"2019-03-29",42865,8,152.33,2
7518,"2019-03-29",42866,8,150.68,12
7519,"2019-03-29",42868,2,140.45,8
7520,"2019-03-29",42873,9,346.67,1
7521,"2019-03-29",42874,12,374.33,2
7522,"2019-03-29",42879,7,425.85,7
7523,"2019-03-29",42880,14,441.39,3
7524,"2019-03-29",42882,9,360.08,10
7525,"2019-03-29",42883,9,380.17,6
7526,"2019-03-29",42884,13,372.85,9
7527,"2019-03-29",42885,9,340.78,8
7528,"2019-03-29",42886,31,362.9,12
7529,"2019-03-29",42888,6,309.05,8
7530,"2019-03-29",42889,13,397.56,7
7531,"2019-03-29",42890,17,309.25,1
7532,"2019-03-29",42892,10,410.18,13
7533,"2019-03-29",42894,6,362.76,9
7534,"2019-03-29",42896,6,332.58,4
7535,"2019-03-29",42897,3,332.03,5
7536,"2019-03-29",42985,8,1079.44,11
7537,"2019-03-29",42990,9,247.88,13
7538,"2019-03-29",42991,16,332.62,9
7539,"2019-03-29",42994,15,458.94,7
7540,"2019-03-29",42995,9,257.77,12
7541,"2019-03-29",42997,22,315.93,13
7542,"2019-03-29",42998,18,418.67,13
7543,"2019-03-29",43000,2,271.74,3
7544,"2019-03-29",43001,3,473.45,6
7545,"2019-03-29",43002,6,324.83,11
7546,"2019-03-29",43005,14,301.58,1
7547,"2019-03-29",43006,2,375.45,2
7548,"2019-03-29",43009,3,411.61,8
7549,"2019-03-29",43018,5,330.24,12
7550,"2019-03-29",43019,8,296.15,11
7551,"2019-03-29",43021,5,331.59,5
7552,"2019-03-29",43023,11,399.37,12
7553,"2019-03-29",43024,12,359.21,9
7554,"2019-03-29",43025,12,439.07,13
7555,"2019-03-29",43027,6,356.64,11
7556,"2019-03-29",42754,7,910.73,3
7557,"2019-03-29",42755,6,850.05,10
7558,"2019-03-29",42757,1,1312.39,11
7559,"2019-03-29",42758,10,1406.51,12
7560,"2019-03-29",42762,13,1674.02,6
7561,"2019-03-29",42763,1,1511.41,5
7562,"2019-03-29",42768,2,1186.28,5
7563,"2019-03-29",42771,15,1711.11,5
7564,"2019-03-29",42774,7,4496.39,14
7565,"2019-03-29",42779,9,7447.39,3
7566,"2019-03-29",42782,16,2305.83,8
7567,"2019-03-29",42784,6,1101.33,10
7568,"2019-03-29",42786,13,580.31,11
7569,"2019-03-29",42787,15,1007.85,2
7570,"2019-03-29",42788,6,302.44,12
7571,"2019-03-29",42789,2,136.21,10
7572,"2019-03-29",42790,3,480.08,9
7573,"2019-03-29",42791,6,173.17,12
7574,"2019-03-29",42792,12,310.99,11
7575,"2019-03-29",42793,7,653.1,11
7576,"2019-03-29",42794,11,191.46,4
7577,"2019-03-29",42795,8,398.46,10
7578,"2019-03-29",42799,6,1163.38,12
7579,"2019-03-29",42800,12,1289.31,13
7580,"2019-03-29",42801,23,2070.25,11
7581,"2019-03-29",42850,5,195.27,4
7582,"2019-03-29",42929,10,207.66,7
7583,"2019-03-29",42852,3,99.93,12
7584,"2019-03-29",42853,5,529.43,12
7585,"2019-03-29",42854,3,790.21,7
7586,"2019-03-29",42899,11,126.16,6
7587,"2019-03-29",42900,14,192.02,6
7588,"2019-03-29",42975,3,168.5,9
7589,"2019-03-29",42976,5,158.68,7
7590,"2019-03-29",42977,3,67.91,7
7591,"2019-03-29",42979,6,80.0,11
7592,"2019-03-29",42980,9,82.09,11
7593,"2019-03-29",42981,4,35.82,10
7594,"2019-03-29",42982,15,8.74,12
7595,"2019-04-26",42832,13,646.66,11
7596,"2019-04-26",42833,7,510.78,5
7597,"2019-04-26",42834,2,627.94,10
7598,"2019-04-26",42835,10,582.3,5
7599,"2019-04-26",42837,4,337.78,10
7600,"2019-04-26",42841,2,281.25,2
7601,"2019-04-26",42846,3,1959.62,8
7602,"2019-04-26",42847,8,2220.62,13
7603,"2019-04-26",42855,38,701.81,9
7604,"2019-04-26",42856,9,299.48,12
7605,"2019-04-26",42858,23,323.9,3
7606,"2019-04-26",42859,10,427.03,13
7607,"2019-04-26",42860,3,403.04,2
7608,"2019-04-26",42862,5,320.9,7
7609,"2019-04-26",42984,4,155.36,7
7610,"2019-04-26",42907,6,297.04,13
7611,"2019-04-26",42909,16,979.31,4
7612,"2019-04-26",42914,15,956.01,13
7613,"2019-04-26",42915,12,1299.66,11
7614,"2019-04-26",42917,33,104458.0,11
7615,"2019-04-26",42918,2,597.93,9
7616,"2019-04-26",42919,2,494.51,10
7617,"2019-04-26",42920,7,495.79,13
7618,"2019-04-26",42923,6,492.74,10
7619,"2019-04-26",42934,1,1400.82,3
7620,"2019-04-26",42935,17,1899.67,11
7621,"2019-04-26",42938,9,1974.95,3
7622,"2019-04-26",42939,8,2016.63,13
7623,"2019-04-26",42941,4,1903.14,7
7624,"2019-04-26",42944,5,2826.88,4
7625,"2019-04-26",42946,6,1430.83,1
7626,"2019-04-26",42947,6,2289.6,10
7627,"2019-04-26",42949,6,1231.88,3
7628,"2019-04-26",42958,8,2715.63,4
7629,"2019-04-26",42960,6,2585.69,4
7630,"2019-04-26",42962,13,1482.99,3
7631,"2019-04-26",42963,5,1450.04,5
7632,"2019-04-26",42964,8,2233.97,9
7633,"2019-04-26",42967,9,2222.67,12
7634,"2019-04-26",42969,15,2623.68,8
7635,"2019-04-26",42972,10,1754.32,4
7636,"2019-04-26",43028,4,706.35,9
7637,"2019-04-26",43029,11,773.31,1
7638,"2019-04-26",43030,2,826.2,1
7639,"2019-04-26",43031,8,912.71,6
7640,"2019-04-26",43032,8,688.43,6
7641,"2019-04-26",43033,22,826.67,11
7642,"2019-04-26",43034,3,649.18,4
7643,"2019-04-26",43035,14,746.44,5
7644,"2019-04-26",43036,5,494.77,2
7645,"2019-04-26",43037,14,695.35,13
7646,"2019-04-26",43040,7,582.73,5
7647,"2019-04-26",43041,6,522.46,8
7648,"2019-04-26",43043,12,776.35,5
7649,"2019-04-26",42816,9,852.1,9
7650,"2019-04-26",42818,4,1214.15,8
7651,"2019-04-26",42819,25,674.61,5
7652,"2019-04-26",42823,9,668.01,5
7653,"2019-04-26",42828,2,651.48,7
7654,"2019-04-26",42831,13,285.48,14
7655,"2019-04-26",42810,10,1000.87,6
7656,"2019-04-26",42812,11,287.19,7
7657,"2019-04-26",42813,9,277.54,4
7658,"2019-04-26",42814,9,279.82,14
7659,"2019-04-26",42815,8,422.84,3
7660,"2019-04-26",42902,14,205.57,1
7661,"2019-04-26",42903,2,188.29,3
7662,"2019-04-26",42904,17,92.42,13
7663,"2019-04-26",42905,14,304.31,6
7664,"2019-04-26",42737,4,1166.17,11
7665,"2019-04-26",42864,10,129.46,5
7666,"2019-04-26",42865,1,130.23,12
7667,"2019-04-26",42867,13,157.2,13
7668,"2019-04-26",42868,6,144.58,3
7669,"2019-04-26",42869,12,158.11,4
7670,"2019-04-26",42871,6,416.39,6
7671,"2019-04-26",42872,5,354.49,4
7672,"2019-04-26",42873,3,428.25,10
7673,"2019-04-26",42877,13,384.7,8
7674,"2019-04-26",42878,5,396.96,2
7675,"2019-04-26",42879,6,426.05,8
7676,"2019-04-26",42881,3,360.81,10
7677,"2019-04-26",42882,12,308.52,8
7678,"2019-04-26",42883,9,397.98,6
7679,"2019-04-26",42884,3,301.41,10
7680,"2019-04-26",42885,10,319.62,5
7681,"2019-04-26",42886,4,300.39,2
7682,"2019-04-26",42887,3,362.21,2
7683,"2019-04-26",42888,3,348.35,8
7684,"2019-04-26",42891,5,371.78,14
7685,"2019-04-26",42893,4,343.09,7
7686,"2019-04-26",42894,14,311.35,9
7687,"2019-04-26",42897,3,400.79,9
7688,"2019-04-26",42898,12,378.81,12
7689,"2019-04-26",42985,6,919.98,6
7690,"2019-04-26",42987,17,313.89,9
7691,"2019-04-26",42988,14,364.33,12
7692,"2019-04-26",42990,2,265.93,14
7693,"2019-04-26",42991,5,270.9,9
7694,"2019-04-26",42992,15,421.2,10
7695,"2019-04-26",42995,11,224.5,2
7696,"2019-04-26",42997,14,382.13,13
7697,"2019-04-26",42998,5,412.53,9
7698,"2019-04-26",42999,7,389.92,5
7699,"2019-04-26",43001,8,481.66,6
7700,"2019-04-26",43002,7,250.91,7
7701,"2019-04-26",43004,6,252.72,12
7702,"2019-04-26",43005,37,269.09,3
7703,"2019-04-26",43006,13,332.0,13
7704,"2019-04-26",43009,3,404.54,10
7705,"2019-04-26",43010,8,236.8,11
7706,"2019-04-26",43011,21,290.22,13
7707,"2019-04-26",43012,12,343.67,8
7708,"2019-04-26",43013,3,233.94,11
7709,"2019-04-26",43015,10,324.79,1
7710,"2019-04-26",43018,7,328.88,13
7711,"2019-04-26",43019,1,268.65,1
7712,"2019-04-26",42756,4,458.7,14
7713,"2019-04-26",42757,9,1240.08,3
7714,"2019-04-26",42758,14,1098.47,4
7715,"2019-04-26",42759,3,1337.26,5
7716,"2019-04-26",42763,27,1513.39,5
7717,"2019-04-26",42765,7,1355.26,11
7718,"2019-04-26",42767,2,2242.72,8
7719,"2019-04-26",42768,1,1530.42,3
7720,"2019-04-26",42770,11,2422.83,13
7721,"2019-04-26",42773,10,5239.28,2
7722,"2019-04-26",42776,7,1098.7,10
7723,"2019-04-26",42777,18,1784.46,10
7724,"2019-04-26",42778,4,2183.99,7
7725,"2019-04-26",42781,18,1660.3,11
7726,"2019-04-26",42784,12,1194.79,4
7727,"2019-04-26",42786,4,555.45,5
7728,"2019-04-26",42787,14,1087.8,14
7729,"2019-04-26",42789,4,139.67,13
7730,"2019-04-26",42792,1,361.82,3
7731,"2019-04-26",42794,6,192.47,3
7732,"2019-04-26",42795,4,360.73,8
7733,"2019-04-26",42796,12,325.01,13
7734,"2019-04-26",42798,3,1031.22,3
7735,"2019-04-26",42799,3,986.08,4
7736,"2019-04-26",42800,10,1094.59,7
7737,"2019-04-26",42850,2,215.51,13
7738,"2019-04-26",42851,10,82.74,4
7739,"2019-04-26",42926,2,52.0,12
7740,"2019-04-26",42852,11,114.72,3
7741,"2019-04-26",42870,7,107.79,5
7742,"2019-04-26",42900,6,163.6,5
7743,"2019-04-26",42901,10,131.1,10
7744,"2019-04-26",42975,19,146.57,8
7745,"2019-04-26",42979,6,76.55,11
7746,"2019-04-26",42980,8,89.55,10
7747,"2019-04-26",42981,1,39.06,7
7748,"2019-05-31",42833,26,557.61,3
7749,"2019-05-31",42834,12,641.31,8
7750,"2019-05-31",42836,5,554.68,8
7751,"2019-05-31",42837,3,325.4,8
7752,"2019-05-31",42838,26,629.63,13
7753,"2019-05-31",42839,2,252.31,10
7754,"2019-05-31",42841,2,277.35,12
7755,"2019-05-31",42843,8,490.78,14
7756,"2019-05-31",42846,5,2248.04,4
7757,"2019-05-31",42847,25,1741.04,13
7758,"2019-05-31",42856,4,292.05,3
7759,"2019-05-31",42858,36,333.06,12
7760,"2019-05-31",42861,7,416.28,10
7761,"2019-05-31",42983,9,225.1,10
7762,"2019-05-31",42984,3,189.4,7
7763,"2019-05-31",42909,1,1137.84,9
