WKT,ID,NOMBRE,NOM_MAP,OBJETO,CALLE,ALTURA,DOM_NORMA,DOM_GEO,TELEFONO,GUARDIA,FAX,WEB,COD_POSTAL,TIPO,TIPO_ESPEC,MOD_AT_1,MOD_AT_2,DEPEND_ADM,DIRECTOR
POINT (-58.437981361705 -34.6089728538414),26,HOSPITAL GENERAL DE AGUDOS DR. C. DURAND,HOSP. DURAND,HOSPITAL,DIAZ VELEZ,5044,DIAZ VELEZ AV. 5044,5044 DIAZ VELEZ AV.,4982-5555 / 4982-5655 Conmutador 4982-1050 / 4981-2670,4982-1771 / 4982-5555 / 4981-2790,4982-2677,www.hospitaldurand.org.ar,C1405DCS,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Bolla Horacio Alberto
POINT (-58.4695020363265 -34.6241704940114),27,HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ,HOSP. ALVAREZ,HOSPITAL,DOCTOR JUAN FELIPE ARANGUREN,2701,"ARANGUREN, JUAN F., DR. 2701","2701 ARANGUREN, JUAN F., DR.",4611-6666 / 4630-2900,4611-6666 (int. 2111 y 2948),4612-5073,,C1406FWY,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Laura Cordero
POINT (-58.4096107488155 -34.6176598438607),28,HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA,HOSP. RAMOS MEJIA,HOSPITAL,GENERAL URQUIZA,609,"URQUIZA, GRAL. 609","609 URQUIZA, GRAL.",4127-0200 / 300,4127-0400,4932-8858,www.hospitalramosmejia.info,C1221ADC,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Hugo Pandullo
POINT (-58.4710781593251 -34.565051956568),29,HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO,HOSP. PIROVANO,HOSPITAL,MONROE,3555,MONROE AV. 3555,3555 MONROE AV.,4123-3100,4542-5552 / 2772 / 9279,4543-2199,,C1430BKC,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. José Antonio Cuba
POINT (-58.5110525000569 -34.599979524264),30,HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA,HOSP. ZUBIZARRETA,HOSPITAL,NUEVA YORK,3952,NUEVA YORK 3952,3952 NUEVA YORK,4501-5985 / 0683,4501-5555 / 0683 / 5985,4501-2604,www.zubizarreta.org.ar,C1419HDN,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Lilia Borelli
POINT (-58.50761514092 -34.6253367952668),31,HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD,HOSP. VELEZ SARSFIELD,HOSPITAL,PEDRO CALDERON DE LA BARCA,1550,"CALDERON DE LA BARCA, PEDRO 1550","1550 CALDERON DE LA BARCA, PEDRO",4639-8700 al 05,4639-8700 (int. 342),4566-9590,www.hospitalvelez.org.ar,C1407KQF,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Virginia Lombardo
POINT (-58.5156291936709 -34.6491867281064),32,HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI,HOSP. SANTOJANNI,HOSPITAL,PILAR,950,PILAR 950,950 PILAR,4630-5500 / 5509,4630-5673 / 5606 / 5536,4641-3359,www.hospitalsantojanni.gov.ar,C1408INH,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Federico Charabora
POINT (-58.4108602188291 -34.6431172591975),33,HOSPITAL GENERAL DE AGUDOS J. A. PENNA,HOSP. PENNA,HOSPITAL,PEDRO CHUTRO,3380,"CHUTRO, PEDRO, PROF., DR. 3380","3380 CHUTRO, PEDRO, PROF., DR.",4912-1085,4911-5555 / 3030 (int. 230/268),4911-7222,,C1437JLR,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Gustavo San Martín
POINT (-58.4710976282168 -34.5873917690227),34,HOSPITAL GENERAL DE AGUDOS DR. E. TORNU,HOSP. TORNU,HOSPITAL,COMBATIENTES DE MALVINAS,3002,COMBATIENTES DE MALVINAS AV. 3002,3002 COMBATIENTES DE MALVINAS AV.,4521-3600 / 1236 / 8700,4521-6666,4521-6677,,C1427ARN,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Luis Eduardo Castañiza
POINT (-58.4541167814714 -34.643894071866),35,HOSPITAL GENERAL DE AGUDOS P. PIÑERO,HOSP. PIÑERO,HOSPITAL,VARELA,1301,VARELA AV. 1301,1301 VARELA AV.,4631-8100 / 0526,4631-8601,4632-8626,,C1406ELA,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Rivero Marino Daniel
POINT (-58.4566428491103 -34.6718480140772),36,HOSPITAL CECILIA GRIERSON,HOSP. GRIERSON,HOSPITAL,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402",4402,"FERNANDEZ DE LA CRUZ, F., GRAL. 4402","4402 FERNANDEZ DE LA CRUZ, F., GRAL.",4604-9000,,,,C1439CNU,Hospital de agudos,,,,Ministerio de Salud GCBA,Dr. Luis Giardino
POINT (-58.3918791813882 -34.6299453614404),3,HOSP. DE PEDIATRIA DR. J. GARRAHAN,HOSP. GARRAHAN,HOSPITAL,COMBATE DE LOS POZOS,1881,COMBATE DE LOS POZOS 1881,1881 COMBATE DE LOS POZOS,"4941-8772 / 4942-7475
",4941-8702,4941-8532,www.garrahan.gov.ar,C1245AAM,Hospital de niños,PEDIATRIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Luis Dal Bo
POINT (-58.3814293381891 -34.6419888014928),5,TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA,TALLERES DE REHAB. PSIQUIATRICA,HOSPITAL,SUAREZ,2215,SUAREZ AV. 2215,2215 SUAREZ AV.,4301-3961,,4302-9160,,C1284AGA,Hospital especializado,SALUD MENTAL,AT. AMBULATORIA,DIAGNOSTICO,Ministerio de Salud GCBA,Dra. Graciela María Ana Russo
