"IdVenta","Fecha","Fecha_Entrega","IdCanal","IdCliente","IdSucursal","IdEmpleado","IdProducto","Precio","Cantidad"
154,"2019-01-17","2019-01-21",3,1416,13,13001674,42927,91.0,1
156,"2019-03-19","2019-03-29",2,1638,13,13001674,42912,1654.0,3
157,"2019-04-13","2019-04-18",1,787,13,13001674,42893,515.0,1
158,"2019-06-04","2019-06-08",2,1475,13,13001674,42939,2915.0,2
159,"2019-06-17","2019-06-21",3,1731,13,13001674,42891,515.0,2
161,"2019-07-12","2019-07-16",3,1580,13,13001674,42886,498.0,3
162,"2019-09-23","2019-09-24",2,2906,13,13001674,42909,1500.0,2
163,"2019-10-08","2019-10-12",2,2652,13,13001674,42930,156.0,2
164,"2020-02-01","2020-02-06",2,1616,13,13001674,42923,753.0,2
166,"2020-05-02","2020-05-09",2,1641,13,13001674,42916,1356.0,3
199,"2019-05-17","2019-05-22",3,649,13,13001674,43001,625.0,2
200,"2019-07-10","2019-07-15",1,564,13,13001674,43012,510.0,3
201,"2019-07-19","2019-07-24",2,713,13,13001674,42964,2824.0,3
202,"2019-09-24","2019-09-29",2,2532,13,13001674,43009,563.0,3
203,"2019-11-27","2019-11-29",1,1397,13,13001674,42987,456.0,2
204,"2019-12-04","2019-12-05",3,733,13,13001674,42984,258.0,2
205,"2019-12-14","2019-12-19",2,2835,13,13001674,43011,387.0,3
206,"2020-01-11","2020-01-15",2,508,13,13001674,42972,2741.0,2
207,"2020-02-03","2020-02-08",2,3053,13,13001674,42963,2355.0,1
208,"2020-02-06","2020-02-11",2,1095,13,13001674,42990,353.0,1
209,"2020-02-25","2020-02-27",2,1,13,13001674,42977,111.0,3
210,"2020-02-24","2020-02-28",2,416,13,13001674,43013,354.0,2
218,"2019-04-03","2019-04-06",1,1835,13,13001674,43035,1159.0,1
219,"2019-04-22","2019-04-26",1,2962,13,13001674,43037,1137.0,2
220,"2019-04-27","2019-05-02",2,166,13,13001674,43033,1182.0,3
221,"2019-06-21","2019-06-23",1,1854,13,13001674,43037,1137.0,2
222,"2019-07-09","2019-07-10",3,1204,13,13001674,43017,358.0,2
223,"2019-09-21","2019-10-01",2,184,13,13001674,43021,435.0,1
224,"2020-03-24","2020-03-29",2,3011,13,13001674,43029,1094.0,2
225,"2020-04-08","2020-04-13",1,3001,13,13001674,43043,1159.0,1
226,"2020-03-06","2020-03-08",1,584,13,13001674,43036,744.0,2
227,"2020-01-07","2020-01-10",1,561,13,13001674,42828,906.18,3
228,"2020-01-30","2020-02-04",2,208,13,13001674,42845,823.24,2
229,"2020-02-18","2020-02-21",1,1879,13,13001674,42846,2846.58,1
230,"2020-02-29","2020-03-02",1,720,13,13001674,42848,1588.0,1
231,"2020-04-29","2020-05-01",2,1549,13,13001674,42827,512.38,1
232,"2020-04-21","2020-04-28",2,3368,13,13001674,42950,2603.0,2
233,"2020-03-07","2020-03-08",2,1549,13,13001674,42995,364.0,1
234,"2020-05-29","2020-06-07",2,3250,13,13001674,42904,135.0,1
252,"2019-03-08","2019-03-16",3,1286,13,13001516,42787,1366.42,2
253,"2019-06-04","2019-06-07",3,1117,13,13001516,42763,2118.38,2
259,"2019-05-07","2019-05-16",1,2939,13,13001516,42861,542.0,1
260,"2019-08-19","2019-08-22",2,1270,13,13001516,42859,610.0,1
261,"2020-03-31","2020-04-03",2,1854,13,13001516,42877,560.0,1
269,"2019-02-01","2019-02-09",3,1788,13,13001516,43010,387.0,3
270,"2019-12-14","2019-12-20",3,928,13,13001516,43010,387.0,2
305,"2019-02-15","2019-02-16",1,1645,13,13001516,42777,2557.5,2
306,"2019-03-05","2019-03-10",3,773,13,13001516,42793,871.86,3
307,"2019-07-15","2019-07-17",1,292,13,13001516,42818,1907.62,3
308,"2019-07-15","2019-07-18",2,442,13,13001516,42810,1282.82,2
309,"2019-09-02","2019-09-03",2,2946,13,13001516,42799,1536.04,2
310,"2019-11-14","2019-11-22",2,1854,13,13001516,42788,421.96,2
311,"2019-12-13","2019-12-16",2,1865,13,13001516,42777,2557.5,2
312,"2020-01-27","2020-01-28",1,109,13,13001516,42760,1637.24,2
313,"2020-04-13","2020-04-21",2,2809,13,13001516,42792,479.82,3
314,"2020-05-27","2020-06-04",1,721,13,13001516,42764,1385.78,3
351,"2019-01-01","2019-01-02",2,1693,13,13001516,42825,554.18,1
352,"2019-02-07","2019-02-08",2,1789,13,13001516,42855,1130.0,2
353,"2019-03-26","2019-03-27",2,223,13,13001516,42860,587.0,2
354,"2019-04-04","2019-04-09",1,2579,13,13001516,42858,505.0,2
355,"2019-06-27","2019-07-02",2,3271,13,13001516,42883,498.0,2
356,"2019-07-08","2019-07-09",2,2735,13,13001516,42883,498.0,3
357,"2019-10-18","2019-10-19",2,2798,13,13001516,42855,1130.0,1
358,"2020-01-17","2020-01-22",2,178,13,13001516,42836,823.24,2
359,"2020-02-27","2020-02-28",2,3323,13,13001516,42836,823.24,2
360,"2020-03-18","2020-03-21",2,1066,13,13001516,42827,512.38,2
361,"2020-04-04","2020-04-06",1,966,13,13001516,42869,199.0,2
391,"2019-01-09","2019-01-12",1,3090,13,13001516,42905,456.0,3
392,"2019-01-17","2019-01-21",3,1416,13,13001516,42927,91.0,1
393,"2019-02-15","2019-02-17",1,3005,13,13001516,42920,789.0,1
394,"2019-03-14","2019-03-21",2,974,13,13001516,42938,2679.0,2
395,"2019-03-19","2019-03-29",2,1638,13,13001516,42912,1654.0,2
396,"2019-04-01","2019-04-02",2,1878,13,13001516,42935,2456.0,3
398,"2019-06-05","2019-06-07",2,1100,13,13001516,42886,498.0,1
399,"2019-06-17","2019-06-24",1,1213,13,13001516,42905,456.0,2
400,"2019-06-17","2019-06-21",2,1731,13,13001516,42891,515.0,1
401,"2019-07-09","2019-07-10",2,2689,13,13001516,42920,789.0,1
402,"2019-09-23","2019-09-24",2,2906,13,13001516,42909,1500.0,3
403,"2019-10-29","2019-11-03",2,3301,13,13001516,42930,156.0,1
404,"2019-11-02","2019-11-07",2,354,13,13001516,42900,245.0,3
405,"2019-12-10","2019-12-14",2,731,13,13001516,42932,156.0,1
406,"2019-12-11","2019-12-19",1,164,13,13001516,42907,456.0,3
407,"2020-02-01","2020-02-06",1,1616,13,13001516,42923,753.0,3
408,"2020-04-01","2020-04-05",2,2823,13,13001516,42890,515.0,2
409,"2020-04-06","2020-04-07",2,3390,13,13001516,42908,1478.0,2
410,"2020-05-02","2020-05-09",2,1641,13,13001516,42916,1356.0,3
431,"2019-01-07","2019-01-15",2,3350,13,13001516,42961,2867.0,2
432,"2019-03-22","2019-03-27",2,476,13,13001516,42995,364.0,2
433,"2019-05-04","2019-05-05",1,1052,13,13001516,42977,111.0,2
434,"2019-05-17","2019-05-22",2,649,13,13001516,43001,625.0,1
435,"2019-07-10","2019-07-15",1,412,13,13001516,42971,2762.0,2
436,"2019-11-27","2019-11-29",2,1397,13,13001516,42987,456.0,1
437,"2020-02-03","2020-02-04",1,946,13,13001516,43000,374.0,2
438,"2020-02-25","2020-02-27",2,1,13,13001516,42977,111.0,3
452,"2019-04-22","2019-04-26",2,2962,13,13001516,43037,1137.0,3
453,"2019-09-21","2019-10-01",2,184,13,13001516,43021,435.0,2
454,"2019-11-08","2019-11-12",1,3351,13,13001516,43030,1175.0,2
455,"2020-03-24","2020-03-29",2,3011,13,13001516,43029,1094.0,2
456,"2020-04-18","2020-04-21",2,1690,13,13001516,42990,353.0,2
457,"2020-05-13","2020-05-16",2,534,13,13001516,42768,1923.68,3
458,"2020-02-18","2020-02-21",3,1879,13,13001516,42846,2846.58,2
459,"2020-02-29","2020-03-02",2,720,13,13001516,42848,1588.0,2
460,"2020-03-23","2020-03-31",2,2699,13,13001516,42879,560.0,2
461,"2020-04-21","2020-04-28",2,3368,13,13001516,42950,2603.0,3
462,"2020-03-07","2020-03-08",1,1549,13,13001516,42995,364.0,2
463,"2020-05-02","2020-05-04",2,2457,13,13001516,43023,643.0,2
464,"2020-04-24","2020-04-25",1,1652,13,13001516,43034,1004.0,3
465,"2020-05-07","2020-05-10",2,289,13,13001516,43013,354.0,2
467,"2019-01-09","2019-01-12",2,1812,13,13001330,42766,7011.62,1
468,"2019-01-17","2019-01-18",1,935,13,13001330,42764,1385.78,1
476,"2019-02-14","2019-02-22",1,3029,13,13001330,43010,387.0,1
477,"2019-10-21","2019-10-24",2,667,13,13001330,42992,570.0,2
484,"2019-03-08","2019-03-16",3,1286,13,13001330,42787,1366.42,2
485,"2019-11-12","2019-11-21",3,273,13,13001330,42754,1237.5,2
492,"2020-03-31","2020-04-03",2,1854,13,13001330,42877,560.0,2
500,"2019-02-01","2019-02-09",2,1788,13,13001330,43010,387.0,3
501,"2019-10-16","2019-10-19",2,2740,13,13001330,42963,2355.0,1
531,"2019-02-15","2019-02-16",3,1645,13,13001330,42777,2557.5,2
532,"2019-04-11","2019-04-16",2,884,13,13001330,42784,1748.78,3
533,"2019-05-08","2019-05-15",2,1203,13,13001330,42799,1536.04,3
535,"2019-07-15","2019-07-17",2,292,13,13001330,42818,1907.62,1
536,"2019-09-02","2019-09-03",1,2946,13,13001330,42799,1536.04,2
537,"2019-09-10","2019-09-13",3,596,13,13001330,42777,2557.5,2
538,"2019-10-05","2019-10-12",2,1597,13,13001330,42770,3597.22,1
539,"2019-11-05","2019-11-10",1,1417,13,13001330,42737,1658.0,1
540,"2019-11-14","2019-11-22",3,1854,13,13001330,42788,421.96,1
541,"2019-12-19","2019-12-26",2,1788,13,13001330,42799,1536.04,2
542,"2020-04-10","2020-04-11",3,333,13,13001330,42791,258.28,1
543,"2020-04-13","2020-04-21",3,2809,13,13001330,42792,479.82,2
580,"2019-01-01","2019-01-02",3,1693,13,13001330,42825,554.18,3
581,"2019-01-17","2019-01-24",2,432,13,13001330,42822,816.86,2
582,"2019-03-26","2019-03-27",2,223,13,13001330,42860,587.0,2
583,"2019-04-04","2019-04-09",1,2579,13,13001330,42858,505.0,2
584,"2019-04-19","2019-04-23",1,1632,13,13001330,42859,610.0,1
585,"2019-07-08","2019-07-09",2,2735,13,13001330,42883,498.0,1
586,"2019-07-10","2019-07-17",2,535,13,13001330,42839,353.32,3
587,"2019-12-03","2019-12-07",2,2867,13,13001330,42859,610.0,2
588,"2020-02-27","2020-02-28",2,3323,13,13001330,42836,823.24,2
589,"2020-03-18","2020-03-21",2,1066,13,13001330,42827,512.38,2
590,"2020-04-20","2020-04-25",3,451,13,13001330,42870,178.0,2
630,"2019-03-20","2019-03-27",1,165,13,13001330,42906,321.0,3
631,"2019-04-01","2019-04-02",2,1878,13,13001330,42935,2456.0,2
633,"2019-06-17","2019-06-24",2,1213,13,13001330,42905,456.0,2
634,"2019-06-17","2019-06-21",3,1731,13,13001330,42891,515.0,2
635,"2019-07-12","2019-07-16",3,1580,13,13001330,42886,498.0,2
636,"2019-08-17","2019-08-19",2,1293,13,13001330,42945,3210.0,2
637,"2019-09-23","2019-09-24",2,2906,13,13001330,42909,1500.0,1
638,"2019-10-29","2019-11-03",2,3301,13,13001330,42930,156.0,3
639,"2019-11-02","2019-11-07",1,354,13,13001330,42900,245.0,1
640,"2019-12-04","2019-12-12",2,1817,13,13001330,42938,2679.0,2
641,"2019-12-11","2019-12-19",3,164,13,13001330,42907,456.0,3
642,"2020-04-01","2020-04-05",1,2823,13,13001330,42890,515.0,2
643,"2020-05-02","2020-05-09",3,1641,13,13001330,42916,1356.0,1
672,"2019-03-08","2019-03-10",1,568,13,13001330,42975,215.0,2
673,"2019-03-22","2019-03-27",2,476,13,13001330,42995,364.0,2
674,"2019-07-10","2019-07-15",1,412,13,13001330,42971,2762.0,2
675,"2019-07-10","2019-07-15",2,564,13,13001330,43012,510.0,3
676,"2019-07-19","2019-07-24",2,713,13,13001330,42964,2824.0,2
677,"2019-09-24","2019-09-29",1,2532,13,13001330,43009,563.0,1
678,"2019-11-27","2019-11-29",2,1397,13,13001330,42987,456.0,2
679,"2019-12-07","2019-12-12",2,902,13,13001330,42990,353.0,2
680,"2019-12-11","2019-12-16",3,1306,13,13001330,42979,113.0,2
681,"2019-12-14","2019-12-19",2,2835,13,13001330,43011,387.0,2
682,"2020-02-06","2020-02-11",2,1095,13,13001330,42990,353.0,1
694,"2019-04-27","2019-05-02",1,166,13,13001330,43033,1182.0,1
695,"2019-07-09","2019-07-10",1,1204,13,13001330,43017,358.0,2
696,"2019-11-02","2019-11-03",1,537,13,13001330,43036,744.0,2
697,"2019-11-08","2019-11-12",3,3351,13,13001330,43030,1175.0,2
698,"2020-05-13","2020-05-16",2,534,13,13001330,42768,1923.68,2
699,"2020-02-18","2020-02-21",2,1879,13,13001330,42846,2846.58,2
700,"2020-02-29","2020-03-02",1,720,13,13001330,42848,1588.0,3
701,"2020-04-29","2020-05-01",2,1549,13,13001330,42827,512.38,3
702,"2020-03-23","2020-03-31",2,2699,13,13001330,42879,560.0,2
703,"2020-04-24","2020-04-25",2,1652,13,13001330,43034,1004.0,1
704,"2020-05-29","2020-06-07",3,3250,13,13001330,42904,135.0,3
706,"2019-01-17","2019-01-18",3,935,13,13001657,42764,1385.78,2
707,"2019-08-03","2019-08-06",1,2928,13,13001657,42786,795.74,1
714,"2019-03-16","2019-03-17",2,1003,13,13001657,42894,515.0,2
721,"2019-02-14","2019-02-22",2,3029,13,13001657,43010,387.0,2
722,"2019-09-21","2019-09-22",3,2854,13,13001657,42958,3763.0,2
729,"2019-06-04","2019-06-07",2,1117,13,13001657,42763,2118.38,2
730,"2019-11-12","2019-11-21",3,273,13,13001657,42754,1237.5,1
736,"2019-05-07","2019-05-16",3,2939,13,13001657,42861,542.0,2
737,"2019-08-19","2019-08-22",2,1270,13,13001657,42859,610.0,3
738,"2020-03-31","2020-04-03",2,1854,13,13001657,42877,560.0,2
740,"2019-06-14","2019-06-23",1,2996,13,13001657,42923,753.0,2
746,"2019-02-01","2019-02-09",1,1788,13,13001657,43010,387.0,3
747,"2019-10-16","2019-10-19",2,2740,13,13001657,42963,2355.0,2
748,"2019-12-14","2019-12-20",2,928,13,13001657,43010,387.0,2
777,"2019-01-22","2019-01-26",3,3357,13,13001657,42789,218.02,1
778,"2019-02-15","2019-02-16",1,1645,13,13001657,42777,2557.5,2
779,"2019-05-08","2019-05-15",1,1203,13,13001657,42799,1536.04,2
780,"2019-06-03","2019-06-08",1,3237,13,13001657,42798,1556.28,2
781,"2019-07-15","2019-07-17",3,292,13,13001657,42818,1907.62,2
782,"2019-09-02","2019-09-03",2,2946,13,13001657,42799,1536.04,1
783,"2019-11-05","2019-11-10",2,1417,13,13001657,42737,1658.0,1
784,"2019-12-06","2019-12-11",2,272,13,13001657,42761,1384.46,3
785,"2019-12-19","2019-12-26",2,1788,13,13001657,42799,1536.04,1
786,"2020-01-27","2020-01-28",2,109,13,13001657,42760,1637.24,3
822,"2019-03-26","2019-03-27",2,223,13,13001657,42860,587.0,2
823,"2019-04-19","2019-04-23",2,1632,13,13001657,42859,610.0,3
824,"2019-06-27","2019-07-02",2,3271,13,13001657,42883,498.0,3
825,"2019-07-10","2019-07-17",2,535,13,13001657,42839,353.32,1
826,"2020-02-24","2020-03-03",2,427,13,13001657,42855,1130.0,1
827,"2020-03-18","2020-03-21",2,1066,13,13001657,42827,512.38,2
828,"2020-04-04","2020-04-06",2,966,13,13001657,42869,199.0,1
829,"2020-04-17","2020-04-27",2,56,13,13001657,42849,1542.0,2
830,"2020-04-20","2020-04-25",3,451,13,13001657,42870,178.0,2
864,"2019-01-09","2019-01-12",2,3090,13,13001657,42905,456.0,1
865,"2019-02-22","2019-02-23",1,1782,13,13001657,42927,91.0,1
866,"2019-03-19","2019-03-29",1,1638,13,13001657,42912,1654.0,3
867,"2019-03-20","2019-03-27",1,165,13,13001657,42906,321.0,2
868,"2019-04-01","2019-04-02",1,1878,13,13001657,42935,2456.0,1
869,"2019-06-05","2019-06-07",2,1100,13,13001657,42886,498.0,1
870,"2019-06-04","2019-06-08",2,1475,13,13001657,42939,2915.0,2
871,"2019-06-17","2019-06-24",2,1213,13,13001657,42905,456.0,3
872,"2019-06-17","2019-06-21",1,1731,13,13001657,42891,515.0,1
873,"2019-07-09","2019-07-10",3,2689,13,13001657,42920,789.0,1
874,"2019-10-08","2019-10-12",2,2652,13,13001657,42930,156.0,2
875,"2019-11-02","2019-11-07",3,354,13,13001657,42900,245.0,2
876,"2020-04-01","2020-04-05",2,2823,13,13001657,42890,515.0,1
877,"2020-04-06","2020-04-07",3,3390,13,13001657,42908,1478.0,3
878,"2020-04-16","2020-04-21",2,542,13,13001657,42948,2786.0,1
879,"2020-04-18","2020-04-22",2,2881,13,13001657,42942,2749.0,1
901,"2019-03-21","2019-03-28",2,921,13,13001657,42982,13.0,2
902,"2019-03-22","2019-03-27",3,476,13,13001657,42995,364.0,1
903,"2019-05-04","2019-05-05",2,1052,13,13001657,42977,111.0,2
904,"2019-05-17","2019-05-22",1,649,13,13001657,43001,625.0,3
905,"2019-07-10","2019-07-15",2,412,13,13001657,42971,2762.0,3
906,"2019-07-19","2019-07-24",3,713,13,13001657,42964,2824.0,2
907,"2019-09-24","2019-09-29",1,2532,13,13001657,43009,563.0,1
908,"2019-12-11","2019-12-16",1,1306,13,13001657,42979,113.0,2
909,"2020-02-03","2020-02-04",1,946,13,13001657,43000,374.0,2
921,"2019-04-03","2019-04-06",2,1835,13,13001657,43035,1159.0,2
922,"2019-04-27","2019-05-02",3,166,13,13001657,43033,1182.0,2
923,"2019-06-21","2019-06-23",3,1854,13,13001657,43037,1137.0,2
924,"2019-07-09","2019-07-10",2,1204,13,13001657,43017,358.0,3
925,"2019-09-21","2019-10-01",3,184,13,13001657,43021,435.0,2
926,"2020-01-17","2020-01-19",1,74,13,13001657,42781,2098.8,2
927,"2020-01-07","2020-01-10",1,561,13,13001657,42828,906.18,2
928,"2020-01-30","2020-02-04",2,208,13,13001657,42845,823.24,3
929,"2020-01-03","2020-01-11",1,489,13,13001657,42916,1356.0,3
930,"2020-03-23","2020-03-31",2,2699,13,13001657,42879,560.0,1
931,"2020-03-07","2020-03-08",2,1549,13,13001657,42995,364.0,1
932,"2020-05-02","2020-05-04",2,2457,13,13001657,43023,643.0,2
933,"2020-04-24","2020-04-25",2,1652,13,13001657,43034,1004.0,2
935,"2019-01-09","2019-01-12",2,1812,13,13001658,42766,7011.62,3
937,"2019-08-03","2019-08-06",3,2928,13,13001658,42786,795.74,1
943,"2020-01-30","2020-01-31",2,1828,13,13001658,42887,498.0,1
950,"2019-02-14","2019-02-22",2,3029,13,13001658,43010,387.0,3
951,"2019-09-21","2019-09-22",1,2854,13,13001658,42958,3763.0,1
955,"2019-03-08","2019-03-16",2,1286,13,13001658,42787,1366.42,1
956,"2019-06-04","2019-06-07",2,1117,13,13001658,42763,2118.38,2
963,"2019-05-07","2019-05-16",3,2939,13,13001658,42861,542.0,2
964,"2019-08-19","2019-08-22",1,1270,13,13001658,42859,610.0,3
967,"2019-06-14","2019-06-23",2,2996,13,13001658,42923,753.0,1
972,"2019-02-01","2019-02-09",2,1788,13,13001658,43010,387.0,2
973,"2019-10-16","2019-10-19",2,2740,13,13001658,42963,2355.0,1
974,"2019-12-14","2019-12-20",3,928,13,13001658,43010,387.0,3
1005,"2019-06-03","2019-06-08",3,3237,13,13001658,42798,1556.28,2
1006,"2019-09-02","2019-09-03",3,2946,13,13001658,42799,1536.04,2
1007,"2019-11-05","2019-11-10",2,1417,13,13001658,42737,1658.0,2
1008,"2019-11-14","2019-11-22",2,1854,13,13001658,42788,421.96,1
1009,"2019-12-06","2019-12-11",1,272,13,13001658,42761,1384.46,3
1011,"2019-12-19","2019-12-26",2,1788,13,13001658,42799,1536.04,2
1012,"2020-01-27","2020-01-28",2,109,13,13001658,42760,1637.24,1
1013,"2020-04-10","2020-04-11",2,333,13,13001658,42791,258.28,2
1055,"2019-01-17","2019-01-24",3,432,13,13001658,42822,816.86,2
1056,"2019-02-07","2019-02-08",3,1789,13,13001658,42855,1130.0,1
1057,"2019-03-06","2019-03-07",2,1651,13,13001658,42873,560.0,3
1059,"2019-11-01","2019-11-03",2,1532,13,13001658,42833,819.06,1
1060,"2020-01-17","2020-01-22",2,178,13,13001658,42836,823.24,2
1061,"2020-02-27","2020-02-28",2,3323,13,13001658,42836,823.24,2
1098,"2019-03-14","2019-03-21",2,974,13,13001658,42938,2679.0,1
1099,"2019-03-19","2019-03-29",2,1638,13,13001658,42912,1654.0,3
1100,"2019-03-20","2019-03-27",2,165,13,13001658,42906,321.0,2
1101,"2019-04-01","2019-04-02",2,1878,13,13001658,42935,2456.0,2
1103,"2019-06-04","2019-06-08",2,1475,13,13001658,42939,2915.0,3
1104,"2019-06-17","2019-06-24",2,1213,13,13001658,42905,456.0,1
1105,"2019-06-17","2019-06-21",2,1731,13,13001658,42891,515.0,3
1106,"2019-07-09","2019-07-10",2,2689,13,13001658,42920,789.0,2
1107,"2019-09-23","2019-09-24",3,2906,13,13001658,42909,1500.0,2
1108,"2019-10-08","2019-10-12",2,2652,13,13001658,42930,156.0,1
1109,"2019-10-29","2019-11-03",3,3301,13,13001658,42930,156.0,2
1110,"2019-11-02","2019-11-07",2,354,13,13001658,42900,245.0,1
1111,"2019-12-04","2019-12-12",2,1817,13,13001658,42938,2679.0,2
1112,"2019-12-10","2019-12-14",2,731,13,13001658,42932,156.0,1
1113,"2020-01-16","2020-01-20",2,2533,13,13001658,42890,515.0,2
1114,"2020-02-01","2020-02-06",3,1616,13,13001658,42923,753.0,2
1151,"2019-03-22","2019-03-27",3,476,13,13001658,42995,364.0,1
1152,"2019-05-17","2019-05-22",1,649,13,13001658,43001,625.0,2
1153,"2019-07-19","2019-07-24",1,713,13,13001658,42964,2824.0,2
1154,"2019-11-27","2019-11-29",2,1397,13,13001658,42987,456.0,3
1155,"2020-01-11","2020-01-15",2,508,13,13001658,42972,2741.0,3
1156,"2020-02-03","2020-02-08",1,3053,13,13001658,42963,2355.0,3
1157,"2020-02-25","2020-02-27",2,1,13,13001658,42977,111.0,1
1158,"2020-02-24","2020-02-28",2,416,13,13001658,43013,354.0,3
1166,"2019-04-22","2019-04-26",1,2962,13,13001658,43037,1137.0,1
1167,"2019-06-21","2019-06-23",2,1854,13,13001658,43037,1137.0,2
1168,"2020-04-08","2020-04-13",2,3001,13,13001658,43043,1159.0,2
1169,"2020-01-17","2020-01-19",2,74,13,13001658,42781,2098.8,1
1170,"2020-01-30","2020-02-04",2,208,13,13001658,42845,823.24,1
1171,"2020-02-18","2020-02-21",2,1879,13,13001658,42846,2846.58,2
1172,"2020-02-29","2020-03-02",2,720,13,13001658,42848,1588.0,2
1173,"2020-04-29","2020-05-01",1,1549,13,13001658,42827,512.38,2
1174,"2020-03-23","2020-03-31",2,2699,13,13001658,42879,560.0,1
1175,"2020-03-07","2020-03-08",2,1549,13,13001658,42995,364.0,1
1180,"2020-02-25","2020-03-04",2,188,1,1001695,42757,1784.42,1
1185,"2019-08-05","2019-08-08",2,2884,1,1001695,42836,823.24,2
1186,"2019-10-26","2019-10-27",2,1629,1,1001695,42885,498.0,2
1193,"2019-05-30","2019-05-31",2,1195,1,1001695,42936,3549.0,1
1194,"2019-11-07","2019-11-10",2,3202,1,1001695,42915,1765.0,3
1197,"2019-09-11","2019-09-19",1,487,1,1001695,42987,456.0,3
1207,"2019-04-30","2019-05-06",1,2725,1,1001695,42758,1819.18,3
1208,"2019-09-16","2019-09-25",2,105,1,1001695,42785,1597.42,3
1209,"2019-11-05","2019-11-11",1,12,1,1001695,42794,305.36,2
1210,"2019-12-12","2019-12-18",3,117,1,1001695,42774,6048.9,2
1218,"2020-04-30","2020-05-09",2,684,1,1001695,42837,430.32,3
1223,"2019-06-12","2019-06-20",1,1446,1,1001695,42930,156.0,2
1224,"2019-12-18","2019-12-26",3,2046,1,1001695,42928,123.0,1
1225,"2020-01-27","2020-02-05",1,395,1,1001695,42938,2679.0,2
1233,"2019-03-21","2019-03-24",2,1570,1,1001695,43019,413.0,2
1267,"2019-01-09","2019-01-14",3,2710,1,1001695,42765,1938.42,2
1268,"2019-01-15","2019-01-19",2,1422,1,1001695,42794,305.36,3
1269,"2019-07-10","2019-07-14",2,1665,1,1001695,42799,1536.04,2
1270,"2019-08-29","2019-09-02",1,2273,1,1001695,42766,7011.62,1
1271,"2019-12-14","2019-12-19",2,424,1,1001695,42784,1748.78,2
1272,"2020-01-02","2020-01-03",2,1050,1,1001695,42797,4845.5,3
1273,"2020-01-13","2020-01-20",1,1090,1,1001695,42792,479.82,2
1274,"2020-02-22","2020-02-25",2,511,1,1001695,42754,1237.5,2
1275,"2020-03-17","2020-03-18",2,20,1,1001695,42798,1556.28,2
1276,"2020-04-15","2020-04-16",2,345,1,1001695,42819,860.42,3
1277,"2020-05-05","2020-05-15",2,158,1,1001695,42785,1597.42,2
1278,"2020-05-13","2020-05-18",2,843,1,1001695,42789,218.02,1
1313,"2019-02-11","2019-02-16",2,2039,1,1001695,42855,1130.0,2
1315,"2019-11-19","2019-11-23",2,2115,1,1001695,42872,560.0,3
1316,"2020-01-01","2020-01-03",2,697,1,1001695,42876,560.0,3
1317,"2020-01-09","2020-01-13",2,2967,1,1001695,42858,505.0,3
