idDato,año,experiencia,tipo_empleo,titulo_empleo,salario,moneda,salario_USD,idResidencia,porcentaje_remoto,tamaño_compañía
69,2020,EN,FT,Data Scientist,105000,USD,105000,236,100,S
71,2020,MI,FT,Data Scientist,55000,EUR,62726,130,50,S
72,2020,MI,FT,Data Scientist,37000,EUR,42197,76,50,S
73,2021,EN,FT,Research Scientist,60000,GBP,82528,235,50,L
74,2021,EX,FT,BI Data Analyst,150000,USD,150000,236,100,L
75,2021,EX,FT,Head of Data,235000,USD,235000,236,100,L
77,2021,MI,FT,BI Data Analyst,100000,USD,100000,236,100,M
78,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,103,50,M
79,2021,MI,CT,ML Engineer,270000,USD,270000,236,100,L
80,2021,EN,FT,Data Analyst,80000,USD,80000,236,100,M
82,2021,MI,FT,Data Engineer,140000,USD,140000,236,100,L
83,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,40,50,L
84,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,209,100,S
85,2021,EX,FT,Director of Data Science,130000,EUR,153667,177,100,L
86,2021,MI,FT,Data Engineer,110000,PLN,28476,177,100,L
87,2021,EN,FT,Data Analyst,50000,EUR,59102,76,50,M
88,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,236,100,L
92,2021,EN,FT,Data Science Consultant,65000,EUR,76833,83,100,S
93,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,103,100,L
95,2021,EN,FT,Data Scientist,2200000,INR,29751,103,50,L
96,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,200,50,L
97,2021,EN,PT,AI Scientist,12000,USD,12000,236,100,S
98,2021,MI,FT,Financial Data Analyst,450000,USD,450000,236,100,L
99,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,236,100,M
100,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,236,100,S
101,2021,MI,FT,Data Analyst,75000,USD,75000,236,0,L
103,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,236,50,L
104,2021,MI,FT,Data Analyst,62000,USD,62000,236,0,L
105,2021,MI,FT,Data Scientist,73000,USD,73000,236,0,L
106,2021,MI,FT,Data Analyst,37456,GBP,51519,235,50,L
107,2021,MI,FT,Research Scientist,235000,CAD,187442,40,100,L
110,2021,EN,FT,Data Engineer,2250000,INR,30428,103,100,L
114,2021,EN,PT,AI Scientist,12000,USD,12000,236,100,M
115,2021,MI,FT,Data Engineer,38400,EUR,45391,157,100,L
116,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,236,100,L
117,2021,MI,FT,Data Scientist,50000,USD,50000,162,100,L
118,2021,MI,FT,Data Science Engineer,34000,EUR,40189,86,100,M
119,2021,EN,FT,Data Analyst,90000,USD,90000,236,100,S
120,2021,MI,FT,Data Engineer,200000,USD,200000,236,100,L
121,2021,MI,FT,Big Data Engineer,60000,USD,60000,182,50,M
123,2021,EN,FT,Data Analyst,50000,USD,50000,236,100,M
124,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,235,0,L
125,2021,EN,PT,Data Analyst,8760,EUR,10354,209,50,M
126,2021,MI,FT,Principal Data Scientist,151000,USD,151000,236,100,L
128,2021,MI,FT,Data Scientist,700000,INR,9466,103,0,S
129,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,103,100,S
131,2021,EN,FT,Machine Learning Developer,100000,USD,100000,106,50,S
132,2021,EN,FT,Data Scientist,42000,EUR,49646,76,50,M
133,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,236,100,M
135,2021,EN,FT,Data Scientist,100000,USD,100000,236,0,S
136,2021,MI,FT,Data Analyst,90000,USD,90000,236,100,M
137,2021,MI,FT,ML Engineer,7000000,JPY,63711,112,50,S
138,2021,MI,FT,ML Engineer,8500000,JPY,77364,112,50,S
140,2021,EN,FT,Data Scientist,80000,USD,80000,236,100,M
141,2021,MI,FT,Data Analyst,135000,USD,135000,236,100,L
144,2021,MI,FT,Data Scientist,82500,USD,82500,236,100,S
145,2021,MI,FT,Data Engineer,100000,USD,100000,236,100,L
147,2021,MI,FT,Research Scientist,53000,EUR,62649,76,50,M
148,2021,MI,FT,Data Engineer,90000,USD,90000,236,100,L
152,2021,MI,FT,Data Scientist,150000,USD,150000,236,100,M
153,2021,MI,FT,Data Scientist,95000,CAD,75774,40,100,L
154,2021,EN,FT,Data Scientist,13400,USD,13400,233,100,L
157,2021,MI,FT,Data Scientist,160000,SGD,119059,109,100,M
158,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,236,50,L
160,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,236,100,S
161,2021,EX,FT,Head of Data,230000,USD,230000,183,50,L
162,2021,EX,FT,Head of Data Science,85000,USD,85000,183,0,M
163,2021,MI,FT,Data Engineer,24000,EUR,28369,138,50,L
164,2021,EN,FT,Data Science Consultant,54000,EUR,63831,83,50,L
165,2021,EX,FT,Director of Data Science,110000,EUR,130026,83,50,M
167,2021,EN,FT,Data Engineer,80000,USD,80000,236,100,L
168,2021,EX,FT,Director of Data Science,250000,USD,250000,236,0,L
169,2021,EN,FT,BI Data Analyst,55000,USD,55000,236,50,S
170,2021,MI,FT,Data Architect,150000,USD,150000,236,100,L
171,2021,MI,FT,Data Architect,170000,USD,170000,236,100,L
172,2021,MI,FT,Data Engineer,60000,GBP,82528,235,100,L
173,2021,EN,FT,Data Analyst,60000,USD,60000,236,100,S
177,2021,MI,FT,Data Scientist,58000,MXN,2859,144,0,S
178,2021,MI,FT,Data Scientist,30400000,CLP,40038,45,100,L
179,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,236,50,S
180,2021,MI,FT,Data Scientist,420000,INR,5679,236,100,S
181,2021,MI,FT,Big Data Engineer,1672000,INR,22611,103,0,L
182,2021,MI,FT,Data Scientist,76760,EUR,90734,83,50,L
183,2021,MI,FT,Data Engineer,22000,EUR,26005,236,0,L
185,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,168,50,M
186,2021,MI,FT,Data Engineer,4000,USD,4000,105,100,M
188,2021,EX,FT,Data Science Consultant,59000,EUR,69741,209,100,S
190,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,112,50,S
192,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,49,50,M
193,2021,MI,FT,Big Data Engineer,18000,USD,18000,146,0,S
196,2021,MI,FT,Data Scientist,147000,USD,147000,236,50,L
197,2021,EN,FT,BI Data Analyst,9272,USD,9272,116,100,S
200,2021,EN,FT,Data Science Consultant,90000,USD,90000,236,100,S
201,2021,MI,FT,Data Scientist,52000,EUR,61467,15,50,M
203,2021,MI,FT,Data Scientist,32000,EUR,37825,209,100,L
205,2021,MI,FT,Data Scientist,160000,USD,160000,236,100,L
206,2021,MI,FT,Data Scientist,69600,BRL,12901,32,0,S
209,2021,MI,FL,Data Engineer,20000,USD,20000,236,0,L
211,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,203,50,L
212,2021,MI,FT,Research Scientist,48000,EUR,56738,76,50,S
213,2021,MI,FT,Data Engineer,48000,GBP,66022,235,50,S
214,2021,EN,FT,Big Data Engineer,435000,INR,5882,216,0,L
215,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,83,50,M
217,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,61,50,S
218,2021,MI,FT,Data Scientist,76760,EUR,90734,83,50,L
219,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,22,100,M
221,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,177,100,L
222,2021,MI,FT,Data Scientist,85000,GBP,116914,235,50,L
223,2021,MI,FT,Data Scientist,2500000,INR,33808,103,0,M
224,2021,MI,FT,Data Scientist,40900,GBP,56256,235,50,L
226,2021,EX,CT,Principal Data Scientist,416000,USD,416000,236,100,S
228,2021,MI,FT,Data Scientist,75000,EUR,88654,83,50,L
231,2021,EN,FT,Big Data Engineer,1200000,INR,16228,103,100,L
235,2021,MI,FT,Data Architect,180000,USD,180000,236,100,L
236,2021,MI,FT,Head of Data Science,110000,USD,110000,236,0,S
237,2021,MI,FT,Research Scientist,80000,CAD,63810,40,100,M
238,2021,MI,FT,Data Scientist,39600,EUR,46809,209,100,M
239,2021,EN,FT,Data Scientist,4000,USD,4000,242,0,M
240,2021,EN,FT,Data Engineer,1600000,INR,21637,103,50,M
242,2021,MI,FT,Data Analyst,80000,USD,80000,236,100,L
243,2021,MI,FT,Data Engineer,110000,USD,110000,236,100,L
245,2021,EN,FT,AI Scientist,1335000,INR,18053,5,100,S
246,2021,MI,FT,Data Engineer,52500,GBP,72212,235,50,L
247,2021,EN,FT,Data Scientist,31000,EUR,36643,76,50,L
248,2021,MI,FT,Data Engineer,108000,TRY,12103,228,0,M
251,2021,MI,FT,Data Scientist,115000,USD,115000,236,50,L
252,2021,EN,FT,Data Scientist,90000,USD,90000,236,100,S
253,2021,EX,FT,Principal Data Engineer,600000,USD,600000,236,100,L
254,2021,EN,FT,Data Scientist,2100000,INR,28399,103,100,M
255,2021,MI,FT,Data Analyst,93000,USD,93000,236,100,L
257,2021,MI,FT,Data Engineer,200000,USD,200000,236,100,L
260,2021,EX,FT,Director of Data Science,120000,EUR,141846,83,0,L
261,2021,MI,FT,Data Scientist,130000,USD,130000,236,50,L
263,2021,MI,FT,Data Scientist,1250000,INR,16904,103,100,S
265,2021,MI,FT,Data Scientist,21600,EUR,25532,83,100,S
267,2021,MI,FT,Data Engineer,93150,USD,93150,236,0,M
268,2021,MI,FT,Data Engineer,111775,USD,111775,236,0,M
269,2021,MI,FT,Data Engineer,250000,TRY,28016,228,100,M
270,2021,EN,FT,Data Engineer,55000,EUR,65013,83,50,M
271,2021,EN,FT,Data Engineer,72500,USD,72500,236,100,L
273,2021,EN,FT,Data Science Consultant,65000,EUR,76833,83,0,L
274,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,83,100,S
276,2021,EN,FT,Data Scientist,100000,USD,100000,236,100,M
277,2021,EN,FT,Data Scientist,58000,USD,58000,236,50,L
280,2021,EN,FT,Business Data Analyst,50000,EUR,59102,130,100,L
281,2021,MI,FT,Data Engineer,112000,USD,112000,236,100,L
282,2021,EN,FT,Research Scientist,100000,USD,100000,46,0,L
283,2021,MI,PT,Data Engineer,59000,EUR,69741,157,100,L
285,2021,MI,FT,Research Scientist,69999,USD,69999,60,50,L
288,2021,MI,FT,Data Scientist,109000,USD,109000,236,50,L
289,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,110,50,L
293,2022,MI,FT,Data Scientist,130000,USD,130000,236,0,M
294,2022,MI,FT,Data Scientist,90000,USD,90000,236,0,M
295,2022,MI,FT,Data Engineer,170000,USD,170000,236,100,M
296,2022,MI,FT,Data Engineer,150000,USD,150000,236,100,M
305,2022,EN,FT,Data Engineer,40000,GBP,52351,235,100,M
308,2022,MI,FT,Data Analyst,106260,USD,106260,236,0,M
309,2022,MI,FT,Data Analyst,126500,USD,126500,236,0,M
310,2022,EX,FT,Data Engineer,242000,USD,242000,236,100,M
311,2022,EX,FT,Data Engineer,200000,USD,200000,236,100,M
312,2022,MI,FT,Data Scientist,50000,GBP,65438,235,0,M
313,2022,MI,FT,Data Scientist,30000,GBP,39263,235,0,M
314,2022,MI,FT,Data Engineer,60000,GBP,78526,235,0,M
315,2022,MI,FT,Data Engineer,40000,GBP,52351,235,0,M
317,2022,EN,FT,Data Engineer,35000,GBP,45807,235,100,M
327,2022,EX,FT,Data Analyst,130000,USD,130000,236,100,M
328,2022,EX,FT,Data Analyst,110000,USD,110000,236,100,M
330,2022,MI,FT,Data Analyst,115500,USD,115500,236,100,M
337,2022,MI,FT,Data Analyst,167000,USD,167000,236,100,M
343,2022,EX,FT,Head of Data Science,224000,USD,224000,236,100,M
344,2022,EX,FT,Head of Data Science,167875,USD,167875,236,100,M
345,2022,EX,FT,Analytics Engineer,175000,USD,175000,236,100,M
368,2022,MI,FT,Data Analyst,58000,USD,58000,236,0,S
369,2022,EX,FT,Analytics Engineer,135000,USD,135000,236,100,M
374,2022,MI,FT,ETL Developer,50000,EUR,54957,86,0,M
375,2022,MI,FT,ETL Developer,50000,EUR,54957,86,0,M
376,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,40,100,S
385,2022,EX,FT,Head of Machine Learning,6000000,INR,79039,103,50,L
387,2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,235,100,L
390,2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,235,0,M
391,2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,235,0,M
392,2022,MI,FT,AI Scientist,120000,USD,120000,236,0,M
397,2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,83,100,M
398,2022,MI,FT,Data Engineer,90000,GBP,117789,235,0,M
406,2022,MI,FT,Data Engineer,75000,GBP,98158,235,0,M
407,2022,MI,FT,Data Analyst,58000,USD,58000,236,0,S
409,2022,MI,FT,Data Analyst,40000,GBP,52351,235,100,M
411,2022,MI,FT,Data Scientist,55000,GBP,71982,235,0,M
412,2022,MI,FT,Data Scientist,35000,GBP,45807,235,0,M
413,2022,MI,FT,Data Engineer,60000,EUR,65949,86,100,M
414,2022,MI,FT,Data Engineer,45000,EUR,49461,86,100,M
415,2022,MI,FT,Data Engineer,60000,GBP,78526,235,100,M
416,2022,MI,FT,Data Engineer,45000,GBP,58894,235,100,M
419,2022,MI,FT,Data Engineer,63900,USD,63900,236,0,M
420,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,236,100,L
421,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,236,100,L
422,2022,MI,FT,Data Science Manager,241000,USD,241000,236,100,M
423,2022,MI,FT,Data Science Manager,159000,USD,159000,236,100,M
426,2022,MI,FT,Data Engineer,82900,USD,82900,236,0,M
428,2022,MI,FT,Data Engineer,45000,EUR,49461,209,100,M
430,2022,MI,FT,Data Analyst,30000,GBP,39263,235,100,M
431,2022,MI,FT,Data Analyst,40000,EUR,43966,209,100,M
432,2022,MI,FT,Data Analyst,30000,EUR,32974,209,100,M
433,2022,MI,FT,Data Engineer,80000,EUR,87932,209,100,M
434,2022,MI,FT,Data Engineer,70000,EUR,76940,209,100,M
435,2022,MI,FT,Data Engineer,80000,GBP,104702,235,100,M
436,2022,MI,FT,Data Engineer,70000,GBP,91614,235,100,M
437,2022,MI,FT,Data Engineer,60000,EUR,65949,209,100,M
438,2022,MI,FT,Data Engineer,80000,EUR,87932,86,100,M
441,2022,MI,FT,Data Analyst,40000,EUR,43966,86,100,M
442,2022,MI,FT,Data Analyst,30000,EUR,32974,86,100,M
443,2022,MI,FT,Data Engineer,75000,GBP,98158,235,100,M
444,2022,MI,FT,Data Engineer,60000,GBP,78526,235,100,M
446,2022,MI,FT,Data Engineer,70000,EUR,76940,86,100,M
450,2022,EN,FT,ML Engineer,20000,EUR,21983,178,100,L
452,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,40,100,M
453,2022,EX,FT,Director of Data Science,250000,CAD,196979,40,50,L
454,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,236,100,S
455,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,236,0,M
456,2022,MI,FT,NLP Engineer,240000,CNY,37236,236,50,L
459,2022,MI,FT,Business Data Analyst,1400000,INR,18442,103,100,M
460,2022,MI,FT,Data Scientist,2400000,INR,31615,103,100,L
461,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,178,50,L
462,2022,EN,FT,Financial Data Analyst,100000,USD,100000,236,50,L
463,2022,MI,PT,Data Engineer,50000,EUR,54957,83,50,L
464,2022,EN,FT,Data Scientist,1400000,INR,18442,103,100,M
466,2022,EN,FT,Data Engineer,120000,USD,120000,236,100,M
471,2022,MI,FT,Data Analyst,135000,USD,135000,236,100,M
472,2022,MI,FT,Data Analyst,50000,USD,50000,236,100,M
475,2022,MI,FT,Data Scientist,140000,GBP,183228,235,0,M
476,2022,MI,FT,Data Scientist,70000,GBP,91614,235,0,M
479,2022,MI,FT,Data Scientist,200000,USD,200000,236,100,M
480,2022,MI,FT,Data Scientist,120000,USD,120000,236,100,M
483,2022,EX,FT,Data Engineer,324000,USD,324000,236,100,M
484,2022,EX,FT,Data Engineer,216000,USD,216000,236,100,M
488,2022,EN,PT,Data Scientist,100000,USD,100000,4,50,M
489,2022,MI,FL,Data Scientist,100000,USD,100000,236,100,M
490,2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,31875,60,100,M
492,2022,MI,FT,Principal Data Analyst,75000,USD,75000,40,100,S
493,2022,MI,FT,Data Scientist,150000,PLN,35590,177,100,L
496,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,236,50,M
497,2022,EN,FT,Data Engineer,52800,EUR,58035,83,100,M
500,2022,EN,FT,Data Scientist,66500,CAD,52396,40,100,L
502,2022,MI,FT,Head of Data,30000,EUR,32974,70,100,S
503,2022,EN,FT,Data Scientist,40000,USD,40000,135,100,L
504,2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,14,100,L
506,2022,EN,FT,Data Scientist,120000,AUD,86703,14,50,M
507,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,236,100,L
508,2022,MI,FT,Research Scientist,59000,EUR,64849,15,0,L
509,2022,EN,FT,Research Scientist,120000,USD,120000,236,100,L
510,2022,MI,FT,Applied Data Scientist,157000,USD,157000,236,100,L
511,2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,14,100,S
512,2022,MI,FT,Business Data Analyst,90000,CAD,70912,40,50,L
513,2022,EN,FT,Data Engineer,65000,USD,65000,236,100,S
515,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,168,0,M
516,2022,MI,FT,Data Scientist,48000,USD,48000,236,100,S
518,2022,MI,FT,Data Engineer,62000,EUR,68147,76,100,M
519,2022,MI,FT,Data Scientist,115000,CHF,122346,216,0,L
521,2022,MI,FT,Data Scientist,88000,CAD,69336,40,100,M
522,2022,EN,FT,Computer Vision Engineer,10000,USD,10000,130,100,M
523,2022,MI,FT,Data Analyst,20000,USD,20000,86,100,S
525,2022,MI,FT,Data Scientist,135000,USD,135000,236,100,L
527,2022,MI,FT,Data Scientist,78000,USD,78000,236,100,M
531,2022,MI,FT,Data Analyst,85000,USD,85000,40,0,M
532,2022,MI,FT,Data Analyst,75000,USD,75000,40,0,M
539,2022,MI,FT,Data Scientist,141300,USD,141300,236,0,M
540,2022,MI,FT,Data Scientist,102100,USD,102100,236,0,M
543,2022,MI,FT,Data Engineer,206699,USD,206699,236,0,M
544,2022,MI,FT,Data Engineer,99100,USD,99100,236,0,M
568,2022,MI,FT,Data Analyst,50000,GBP,65438,235,0,M
587,2022,MI,FT,Data Analyst,35000,GBP,45807,235,0,M
599,2022,MI,FT,Data Scientist,160000,USD,160000,236,100,M
600,2022,MI,FT,Data Scientist,130000,USD,130000,236,100,M
601,2022,EN,FT,Data Analyst,67000,USD,67000,40,0,M
602,2022,EN,FT,Data Analyst,52000,USD,52000,40,0,M
607,2022,MI,FT,AI Scientist,200000,USD,200000,236,100,L
