pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,78.0,82576.0
Colombia,Antioquia,Medellín,Apartamento,2.0,2.0,2.0,64.0,68814.0
Argentina,Capital Federal,Villa Urquiza,Departamento,2.0,1.0,1.0,45.0,85000.0
Argentina,Capital Federal,Villa Crespo,Departamento,3.0,2.0,1.0,53.0,145000.0
Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Departamento,3.0,2.0,1.0,70.0,180000.0
Argentina,Capital Federal,Almagro,Departamento,1.0,1.0,1.0,26.0,65000.0
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,43.0,75000.0
Argentina,Capital Federal,Villa Crespo,Departamento,4.0,3.0,1.0,100.0,174500.0
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,2.0,80.0,68814.0
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,48.0,120000.0
Argentina,Capital Federal,Recoleta,Departamento,5.0,3.0,2.0,125.0,400000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34.0,49500.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,5.0,309.0,688137.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,42.0,79900.0
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,123.0,129370.0
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,46.0,140000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,3.0,102.0,455000.0
Colombia,Bolívar,Cartagena,Apartamento,4.0,4.0,4.0,226.0,454170.0
Argentina,Capital Federal,Barrio Norte,Departamento,4.0,3.0,3.0,223.0,950000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,41.0,77000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,84.0,74319.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,2.0,70.0,195000.0
Argentina,Neuquén,Neuquén,Departamento,3.0,2.0,1.0,80.0,130000.0
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,50.0,135000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,130.0,220204.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,57.0,149500.0
Argentina,Santa Fe,San Lorenzo,Departamento,1.0,1.0,1.0,50.0,85000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,96.0,77071.0
Argentina,Capital Federal,Caballito,Departamento,2.0,2.0,1.0,60.0,149000.0
Argentina,Capital Federal,Balvanera,Departamento,4.0,3.0,2.0,95.0,200000.0
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,92.0,70190.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,3.0,2.0,2.0,65.0,145000.0
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,40.0,47500.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,32.0,79000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,74.0,54225.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,44.0,138000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,2.0,63.0,159000.0
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,50.0,145000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,1.0,83.0,96339.0
Argentina,Córdoba,Córdoba,Departamento,5.0,1.0,1.0,50.0,69000.0
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,79.0,57803.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,91.0,83074.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,72.0,37159.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,54.0,41288.0
Argentina,Capital Federal,Villa Luro,Departamento,2.0,1.0,1.0,47.0,92000.0
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,48.0,85000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,3.0,105.0,280000.0
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,55.0,41288.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,53.0,53124.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,90.0,145885.0
Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,3.0,2.0,1.0,55.0,75000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,29.0,59000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,56.0,72942.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,37.0,80000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,114.0,59180.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,40.0,115000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,112.0,203688.0
Argentina,Capital Federal,Parque Chacabuco,Departamento,2.0,1.0,1.0,28.0,88000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,5.0,243.0,447847.0
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,39.0,62500.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,3.0,2.0,1.0,29.0,70000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,294.0,410129.0
Colombia,Huila,Palermo,Apartamento,1.0,1.0,1.0,47.0,77071.0
Argentina,Capital Federal,Constitución,Departamento,2.0,1.0,1.0,44.0,85000.0
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,3.0,2.0,1.0,53.0,117000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,110.0,500000.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,2.0,1.0,1.0,50.0,103000.0
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,1.0,71.0,163873.0
Argentina,Capital Federal,Monserrat,Departamento,2.0,1.0,1.0,35.0,73000.0
Colombia,Atlántico,Barranquilla,Apartamento,4.0,4.0,3.0,190.0,101844.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,142.0,137077.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,92.0,575000.0
Colombia,Cundinamarca,Gachancipá,Apartamento,3.0,3.0,1.0,53.0,38536.0
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,2.0,1.0,1.0,37.0,64500.0
Argentina,Capital Federal,Congreso,Departamento,2.0,1.0,1.0,45.0,110000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,37.0,100000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,176.0,217506.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,78.0,68814.0
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,56.0,50922.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,2.0,110.0,410000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,138.0,165015.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,3.0,90.0,411000.0
Argentina,Santa Fe,Rosario,Departamento,4.0,2.0,1.0,58.0,75000.0
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,43.0,139500.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,42.0,112000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42.0,114800.0
Argentina,Capital Federal,Belgrano,Departamento,1.0,1.0,1.0,36.0,109000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70.0,129721.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,58.0,26149.0
Colombia,Cundinamarca,Funza,Apartamento,3.0,3.0,2.0,58.0,46243.0
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,35.0,88000.0
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,1.0,1.0,1.0,30.0,69900.0
Colombia,Antioquia,La Estrella,Apartamento,2.0,2.0,1.0,58.0,33031.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,2.0,1.0,1.0,25.0,45000.0
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,55.0,44041.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,44.0,118000.0
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,2.0,69.0,128000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,64.0,58354.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,33.0,60006.0
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,2.0,101.0,230001.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,55.0,85329.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,70.0,160000.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,2.0,1.0,1.0,45.0,78000.0
Argentina,Capital Federal,San Telmo,Departamento,4.0,2.0,1.0,76.0,138000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,60.0,68000.0
Colombia,Antioquia,Medellín,Apartamento,4.0,4.0,3.0,162.0,79824.0
Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,3.0,2.0,1.0,60.0,48000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70.0,89458.0
Argentina,Capital Federal,San Telmo,Departamento,3.0,2.0,2.0,70.0,140000.0
Colombia,Risaralda,Pereira,Apartamento,1.0,1.0,2.0,88.0,77071.0
Colombia,Antioquia,Itagui,Apartamento,3.0,3.0,2.0,88.0,88081.0
Argentina,Capital Federal,Puerto Madero,Departamento,2.0,1.0,1.0,54.0,650000.0
Argentina,Capital Federal,Palermo,Departamento,5.0,3.0,4.0,249.0,2350000.0
Argentina,Capital Federal,Colegiales,Departamento,2.0,1.0,1.0,34.0,115000.0
Argentina,Capital Federal,Liniers,Departamento,2.0,1.0,1.0,32.0,55000.0
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,20.0,80000.0
Argentina,Buenos Aires Interior,Bahía Blanca,Departamento,2.0,1.0,1.0,40.0,68000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,3.0,2.0,77.0,93000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,80.0,174511.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,52.0,178000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,58.0,163000.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,42.0,112000.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,40.0,124000.0
Argentina,Río Negro,San Carlos de Bariloche,Departamento,3.0,2.0,1.0,52.0,120000.0
Colombia,Antioquia,Itagui,Apartamento,3.0,3.0,2.0,66.0,46793.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,160.0,950000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,101.0,63309.0
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,1.0,43.0,90000.0
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,2.0,88.0,225000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,99.0,690000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,100.0,77071.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,112.0,110983.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,115.0,99092.0
Argentina,Capital Federal,Recoleta,Departamento,4.0,2.0,2.0,142.0,860000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,47.0,95000.0
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,1.0,33.0,35783.0
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,40.0,89000.0
Argentina,Buenos Aires Interior,Junín,Departamento,2.0,1.0,1.0,42.0,67000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,128.0,132122.0
Argentina,Santa Fe,Rosario,Departamento,4.0,3.0,2.0,126.0,567000.0
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,98.0,110102.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,193.0,239472.0
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,2.0,74.0,183000.0
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,37.0,135000.0
Argentina,Capital Federal,Recoleta,Departamento,9.0,4.0,3.0,329.0,899999.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,53.0,145000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,1.0,1.0,34.0,57000.0
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,2.0,80.0,81200.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,82.0,126617.0
Argentina,Capital Federal,Congreso,Departamento,3.0,2.0,1.0,43.0,89000.0
Argentina,Capital Federal,Mataderos,Departamento,2.0,1.0,1.0,39.0,80000.0
Argentina,Córdoba,Córdoba,Departamento,4.0,3.0,3.0,128.0,180000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,54.0,108000.0
Argentina,Capital Federal,Villa Santa Rita,Departamento,1.0,1.0,1.0,32.0,115000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,25.0,40900.0
Argentina,Capital Federal,Villa Crespo,Departamento,5.0,3.0,3.0,170.0,410000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,70.0,95000.0
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,1.0,105.0,350000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,41.0,66061.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,4.0,3.0,2.0,105.0,289000.0
Argentina,Capital Federal,Palermo,Departamento,1.0,1.0,1.0,51.0,145000.0
Argentina,Santa Fe,Rosario,Departamento,6.0,2.0,1.0,61.0,80000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,43.0,82500.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,134.0,168443.0
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,43.0,78000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,40.0,98000.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,3.0,202.0,217451.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,55.0,99900.0
Argentina,Santa Fe,Rosario,Departamento,5.0,2.0,1.0,121.0,115000.0
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,1.0,100.0,174500.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,55.0,119900.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,5.0,318.0,660611.0
Colombia,Bolívar,Cartagena,Apartamento,2.0,2.0,1.0,53.0,68814.0
Argentina,Bs.As. G.B.A. Zona Oeste,Moreno,Departamento,3.0,2.0,3.0,90.0,130000.0
Argentina,Capital Federal,Belgrano,Departamento,1.0,1.0,1.0,38.0,100277.0
Colombia,Valle del Cauca,Jamundí,Apartamento,3.0,3.0,3.0,102.0,88081.0
Argentina,Capital Federal,Constitución,Departamento,3.0,2.0,1.0,54.0,58000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,69.0,107349.0
Colombia,Valle del Cauca,Jamundí,Apartamento,3.0,3.0,3.0,111.0,96339.0
Argentina,Capital Federal,San Nicolás,Departamento,1.0,1.0,1.0,19.0,59000.0
Argentina,Capital Federal,Puerto Madero,Departamento,3.0,2.0,3.0,192.0,1090000.0
Colombia,Cundinamarca,Chía,Apartamento,3.0,3.0,2.0,61.0,49271.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,75.0,74319.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,32.0,55900.0
Argentina,Córdoba,Córdoba,Departamento,3.0,2.0,2.0,80.0,135000.0
Argentina,Neuquén,Neuquén,Departamento,4.0,2.0,1.0,60.0,168000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,50.0,54500.0
Colombia,Santander,Bucaramanga,Apartamento,3.0,3.0,3.0,140.0,104597.0
Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,3.0,3.0,1.0,62.0,99900.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,68.0,44041.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,35.0,119000.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,195.0,795000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,67.0,135000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,38.0,132000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,38.0,73000.0
Argentina,Capital Federal,Puerto Madero,Departamento,3.0,2.0,2.0,159.0,1050000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,67.0,148637.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35.0,75000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,53.0,48170.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,28.0,45000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,27.0,88000.0
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,40.0,60000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,55.0,41288.0
Argentina,Capital Federal,Once,Departamento,2.0,1.0,1.0,33.0,68000.0
Argentina,Capital Federal,Recoleta,Departamento,7.0,4.0,3.0,249.0,1500000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,87.0,77071.0
Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Departamento,3.0,2.0,1.0,77.0,235000.0
Argentina,Capital Federal,Recoleta,Departamento,1.0,1.0,1.0,27.0,79900.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,23.0,90000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,82.0,101844.0
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,2.0,63.0,83050.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,54.0,50922.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,34.0,75695.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,98.0,68814.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,3.0,2.0,1.0,110.0,95000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,50.0,105000.0
Colombia,Atlántico,Barranquilla,Apartamento,4.0,4.0,3.0,250.0,187173.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42.0,100000.0
Argentina,Capital Federal,Villa Crespo,Departamento,4.0,3.0,1.0,82.0,185000.0
Argentina,Santa Fe,Rosario,Departamento,1.0,1.0,1.0,24.0,40000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,4.0,3.0,2.0,93.0,320000.0
Argentina,Capital Federal,Recoleta,Departamento,7.0,4.0,3.0,248.0,790000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,231.0,536746.0
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,69.0,123000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,63.0,49546.0
